City,tempmax,sealevelpressure
Chennai,33,1009.5
Chennai,34.4,1002.4
Chennai,33.9,1011.4
Chennai,33.7,1009.2
Chennai,34.5,1008.4
Chennai,33.5,1009.9
Chennai,34.2,1010.1
Chennai,33.9,1004.3
Chennai,33.6,1009
Chennai,33.3,1008.7
Chennai,32.9,1008.2
Chennai,34,1008.6
Chennai,34.6,1008.9
Chennai,34.6,1008.3
Chennai,33.5,1008
Chennai,33.8,1008.4
Chennai,34.1,1008.6
Chennai,33.8,1008
Chennai,33.6,991.7
Chennai,34,1007.7
Chennai,34,1008.8
Chennai,33.8,1009.5
Chennai,33.3,1008.7
Chennai,33.4,1006.8
Chennai,33.6,1006.8
Chennai,35.7,1005.9
Chennai,34.5,984
Chennai,34.3,1004.5
Chennai,35,1003.9
Chennai,33.4,1003.3
Chennai,34,1001
Chennai,34.3,1005.7
Chennai,34.5,1006.1
Chennai,33.9,1005.4
Chennai,34.7,1005.9
Chennai,33.4,1006
Chennai,31.5,1005.3
Chennai,33.3,1004.8
Chennai,34.7,1004
Chennai,36.9,1002.4
Chennai,38.7,1001.6
Chennai,37,1002.5
Chennai,35.7,1004.2
Chennai,37.5,1005.2
Chennai,36.7,1004.8
Chennai,37.4,1003.8
Chennai,36.3,1004.2
Chennai,37,1004.9
Chennai,36,1006.3
Chennai,34.5,1007.5
Chennai,34.6,1006.9
Chennai,34.4,1006.7
Chennai,37,1006.3
Chennai,37,1005.6
Chennai,38,1004.3
Chennai,36.2,1003.2
Chennai,35,1003.4
Chennai,38,1003.3
Chennai,37,1003
Chennai,35,1003
Chennai,38,1002.4
Chennai,38,1003.6
Chennai,37,1004.4
Chennai,36,1006
Chennai,38,1007.4
Chennai,39,1007.4
Chennai,40,1006.3
Chennai,37,1005.7
Chennai,38,1005.5
Chennai,36,1006.2
Chennai,37,1004.6
Chennai,34,1004.4
Chennai,34.2,1005.7
Chennai,35,1006.5
Chennai,35,1005.9
Chennai,37,1005.3
Kolkata,38.4,1000.9
Kolkata,35.1,1004.5
Kolkata,36,1006.4
Kolkata,36,1007.5
Kolkata,34,1009.1
Kolkata,35.9,1008.6
Kolkata,34,1008.7
Kolkata,34,1007
Kolkata,34,1008.1
Kolkata,35.1,1009.5
Kolkata,36,1010.2
Kolkata,37,1010.2
Kolkata,37,1009.1
Kolkata,38,1007.7
Kolkata,36,1006.6
Kolkata,34.3,1006.8
Kolkata,33.6,1009.1
Kolkata,34,1008.5
Kolkata,38,1006.1
Kolkata,37,1006
Kolkata,37,1007.4
Kolkata,31,1008.5
Kolkata,37,1008.1
Kolkata,38.1,1006.6
Kolkata,39.2,1005.9
Kolkata,39,1005.3
Kolkata,38.1,1006.1
Kolkata,36.4,1008
Kolkata,36,1008.3
Kolkata,36,1007.5
Kolkata,36,1007.7
Kolkata,35.4,1008
Kolkata,35,1006.9
Kolkata,29.3,1008.2
Kolkata,33,1008.3
Kolkata,34.3,1009.2
Kolkata,35.1,1009.8
Kolkata,34.3,1008.5
Kolkata,35,1007.3
Kolkata,34,1005.9
Kolkata,33.6,1005.4
Kolkata,32.1,1004.2
Kolkata,31.2,1003.6
Kolkata,35,1003
Kolkata,37,1004.3
Kolkata,35.7,1005.4
Kolkata,37,1005.2
Kolkata,38.4,1004.7
Kolkata,36.4,1004.2
Kolkata,36,1004.3
Kolkata,37,1004
Kolkata,36,1002.3
Kolkata,37,1001.7
Kolkata,33,1000.9
Kolkata,30.5,996.6
Kolkata,29.1,992.1
Kolkata,32,997.5
Kolkata,34,1003.6
Kolkata,34,1004.9
Kolkata,35,1003.2
Kolkata,29.4,1001.5
Kolkata,35.5,1002.6
Kolkata,34,1004.5
Kolkata,36,1005.5
Kolkata,36.5,1005.1
Kolkata,38,1004.2
Kolkata,38,1003.4
Kolkata,37,1002
Kolkata,35,1001.1
Kolkata,33,999.9
Kolkata,33,998.1
Kolkata,33,996.3
Kolkata,34,997.2
Kolkata,33.2,997
Kolkata,33,995.7
Kolkata,31,995.1
Kolkata,29,996.6
Kolkata,28,998.8
Kolkata,31,1000.8
Kolkata,29,1002.3
Kolkata,31,1002.3
